Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
TKU2201 TKU0,T,F,TKU2201,TKU,Waikato Taupo King Country,North Island,Central,Hydro
TMI0331,F,F,TMI0331,TMI,Bay of Plenty,North Island,Bay Of Plenty,Load
TMK0331,F,F,TMK0331,TMK,Canterbury,South Island,South Canterbury,Load
TMN0551,F,F,TMN0551,TMN,Waikato Taupo King Country,North Island,Taranaki,Load
TMU0111,F,F,TMU0111,TMU,Waikato Taupo King Country,North Island,Waikato,Load
TMU1101 ANC9,T,F,TMU1101,TMU,Waikato Taupo King Country,North Island,Waikato,Cogen
TMU1101 ANC0,T,F,TMU1101,TMU,Waikato Taupo King Country,North Island,Waikato,Cogen
TMU1101,F,F,TMU1101,TMU,Waikato Taupo King Country,North Island,Waikato,Load
TNG0111,F,F,TNG0111,TNG,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
TNG0551,F,F,TNG0551,TNG,Taranaki Wanganui Manawatu Horowhenua,North Island,Central,Load
TOB0501,F,F,TOB0501,Tokomaru Bay,Hawkes' Bay East Coast Wairarapa,North Island,Hawkes Bay,Load
TRK0111,F,F,TRK0111,TRK,Bay of Plenty,North Island,Bay Of Plenty,Load
