Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
HLY2201 HLY0,T,F,HLY2201,HLY,Waikato Taupo King Country,North Island,Waikato,Coal
HLY2201,F,F,HLY2201,HLY,Waikato Taupo King Country,North Island,Waikato,Load
HOR0331,F,F,HOR0331,HOR,West Coast Nelson Marlborough,South Island,Canterbury,Load
HOR0661,F,F,HOR0661,HOR,West Coast Nelson Marlborough,South Island,Canterbury,Load
HTI0331 ANA0,T,F,HTI0331,HTI,Waikato Taupo King Country,North Island,Waikato,Hydro
HTI0331,F,F,HTI0331,HTI,Waikato Taupo King Country,North Island,Waikato,Load
HUI0331,F,F,HUI0331,HUI,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
HWA0331,F,F,HWA0331,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
HWA0331 KPL0,T,F,HWA0331,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
HWA1101 PTA3,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Hydro
HWA1101 PTA2,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Hydro
HWA1101 PTA1,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Hydro
HWA1101 WAA2,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWA1101 WAA0,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWA1101 WAA1,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWA1101 PTA0,T,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Hydro
HWA1101,F,F,HWA1101,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
HWA1102 WAA1,T,F,HWA1102,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWA1102,F,F,HWA1102,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
HWA1102 WAA2,T,F,HWA1102,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWA1102 WAA0,T,F,HWA1102,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Cogen
HWB0331 MAH0,T,F,HWB0331,HWB,Southland Otago,South Island,Otago/Southland,Wind
HWB0331 WPI0,T,F,HWB0331,HWB,Southland Otago,South Island,Otago/Southland,Hydro
HWB0331,F,F,HWB0331,HWB,Southland Otago,South Island,Otago/Southland,Load
HWB0332,F,F,HWB0332,HWB,Southland Otago,South Island,Otago/Southland,Load
INV0331,F,F,INV0331,INV,Southland Otago,South Island,Otago/Southland,Load
ISL0331,F,F,ISL0331,ISL,Canterbury,South Island,Canterbury,Load
ISL0661,F,F,ISL0661,ISL,Canterbury,South Island,Canterbury,Load
ISL0661 TPV,T,F,ISL0661,ISL,Canterbury,South Island,Canterbury,Load
ISL2201 TPV,T,F,ISL2201,ISL,Canterbury,South Island,Canterbury,Load
KAI0111,F,F,KAI0111,KAI,Canterbury,South Island,Canterbury,Load
KAW0111,F,F,KAW0111,KAW,Bay of Plenty,North Island,Bay Of Plenty,Load
KAW0112 ONU0,T,F,KAW0112,KAW,Bay of Plenty,North Island,Bay Of Plenty,Cogen
KAW0112,F,F,KAW0112,KAW,Bay of Plenty,North Island,Bay Of Plenty,Load
HWA0332,F,F,HWA0332,HWA,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
KAW0113,F,F,KAW0113,KAW,Bay of Plenty,North Island,Bay Of Plenty,Load
KAW1101 KAG0,T,F,KAW1101,KAW,Bay of Plenty,North Island,Bay Of Plenty,Geothermal
KAW1101,F,F,KAW1101,KAW,Bay of Plenty,North Island,Bay Of Plenty,Load
KEN0331,F,F,KEN0331,KEN,Northland,North Island,North Isthmus,Load
