Trading Date,Mean Stored,Daily Stored
09Dec33,2850,2292.032
10Dec33,2863,2302.724
11Dec33,2875,2313.415
12Dec33,2888,2324.107
13Dec33,2901,2321.923
14Dec33,2915,2319.738
15Dec33,2928,2317.554
16Dec33,2942,2337.012
17Dec33,2956,2378.114
18Dec33,2971,2419.216
19Dec33,2986,2460.317
20Dec33,3001,2478.231
21Dec33,3017,2496.146
22Dec33,3034,2514.06
23Dec33,3051,2551.93
24Dec33,3069,2609.756
25Dec33,3087,2667.582
26Dec33,3105,2725.408
27Dec33,3124,2744.937
28Dec33,3143,2764.466
29Dec33,3163,2783.995
30Dec33,3183,2795.741
31Dec33,3202,2799.705
01Jan34,3222,2803.668
02Jan34,3241,2807.632
03Jan34,3260,2789.651
04Jan34,3278,2771.671
05Jan34,3295,2753.69
06Jan34,3312,2738.266
07Jan34,3327,2725.401
08Jan34,3341,2712.535
09Jan34,3355,2699.67
10Jan34,3367,2703.126
11Jan34,3379,2706.582
12Jan34,3388,2710.038
13Jan34,3397,2725.981
14Jan34,3404,2754.412
15Jan34,3410,2782.842
16Jan34,3415,2811.273
17Jan34,3418,2797.528
18Jan34,3421,2783.783
19Jan34,3423,2770.039
20Jan34,3424,2771.884
21Jan34,3425,2789.32
22Jan34,3425,2806.756
23Jan34,3424,2824.191
24Jan34,3423,2840.16
25Jan34,3422,2856.129
26Jan34,3420,2872.098
27Jan34,3417,2893.314
28Jan34,3414,2919.776
29Jan34,3411,2946.239
30Jan34,3408,2972.701
31Jan34,3405,2960.453
01Feb34,3401,2948.204
02Feb34,3397,2935.955
03Feb34,3393,2933.842
04Feb34,3389,2941.863
05Feb34,3384,2949.885
06Feb34,3380,2957.906
07Feb34,3375,2971.244
08Feb34,3369,2984.583
09Feb34,3363,2997.921
10Feb34,3358,3012.448
11Feb34,3351,3028.164
12Feb34,3345,3043.88
13Feb34,3339,3059.595
14Feb34,3332,3060.487
15Feb34,3325,3061.379
16Feb34,3318,3062.271
17Feb34,3310,3062.389
18Feb34,3303,3061.731
19Feb34,3296,3061.074
20Feb34,3289,3060.416
21Feb34,3282,3038.127
22Feb34,3275,3015.837
23Feb34,3269,2993.548
24Feb34,3262,2975.999
25Feb34,3256,2963.192
26Feb34,3250,2950.384
27Feb34,3244,2937.576
28Feb34,3238,2922.954
01Mar34,3232,2908.33
02Mar34,3227,2893.708
03Mar34,3222,2890.851
04Mar34,3217,2899.761
05Mar34,3211,2908.671
06Mar34,3206,2917.581
07Mar34,3201,2931.547
08Mar34,3196,2945.512
09Mar34,3191,2959.478
10Mar34,3185,2968.878
11Mar34,3180,2973.71
12Mar34,3174,2978.543
13Mar34,3169,2983.375
14Mar34,3163,2963.69
15Mar34,3157,2944.005
16Mar34,3151,2924.32
17Mar34,3146,2905.789
18Mar34,3140,2888.41
19Mar34,3134,2871.03
20Mar34,3129,2853.651
21Mar34,3124,2831.985
22Mar34,3119,2810.319
23Mar34,3114,2788.652
24Mar34,3109,2797.482
25Mar34,3105,2836.81
26Mar34,3100,2876.137
27Mar34,3097,2915.464
28Mar34,3093,2926.508
29Mar34,3089,2937.553
30Mar34,3086,2948.597
31Mar34,3083,2946.716
01Apr34,3080,2931.91
02Apr34,3078,2917.104
03Apr34,3075,2902.298
04Apr34,3073,2873.38
05Apr34,3070,2844.463
06Apr34,3068,2815.546
07Apr34,3066,2814.339
08Apr34,3063,2840.843
09Apr34,3059,2867.346
10Apr34,3055,2893.85
11Apr34,3051,2916.709
12Apr34,3046,2939.567
13Apr34,3040,2962.426
14Apr34,3033,2979.299
15Apr34,3027,2990.187
16Apr34,3020,3001.075
17Apr34,3012,3011.963
18Apr34,3004,3059.532
19Apr34,2995,3107.101
20Apr34,2986,3154.67
21Apr34,2976,3204.258
22Apr34,2966,3255.864
23Apr34,2961,3307.47
24Apr34,2956,3359.075
25Apr34,2951,3398.348
26Apr34,2945,3437.62
27Apr34,2940,3476.892
28Apr34,2935,3489.142
29Apr34,2930,3474.368
30Apr34,2924,3459.595
01May34,2919,3444.822
02May34,2913,3444.32
03May34,2907,3443.817
04May34,2902,3443.315
05May34,2896,3445.726
06May34,2891,3451.052
07May34,2886,3456.378
08May34,2881,3461.704
09May34,2876,3429.832
10May34,2872,3397.96
11May34,2868,3366.088
12May34,2864,3344.837
13May34,2861,3334.208
14May34,2858,3323.578
15May34,2856,3312.948
16May34,2854,3355.962
17May34,2853,3398.977
18May34,2852,3441.991
19May34,2851,3462.997
20May34,2850,3461.994
21May34,2850,3460.991
22May34,2849,3459.988
23May34,2848,3438.155
24May34,2848,3416.322
25May34,2847,3394.489
26May34,2846,3370.873
27May34,2845,3345.477
28May34,2844,3320.079
29May34,2843,3294.682
30May34,2841,3269.116
31May34,2839,3243.552
01Jun34,2837,3217.987
02Jun34,2835,3208.067
03Jun34,2833,3213.794
04Jun34,2830,3219.52
05Jun34,2828,3225.246
06Jun34,2825,3195.592
07Jun34,2822,3165.938
08Jun34,2819,3136.284
09Jun34,2816,3109.547
10Jun34,2813,3085.725
11Jun34,2811,3061.904
12Jun34,2808,3038.082
13Jun34,2806,3004.368
14Jun34,2803,2970.654
15Jun34,2801,2936.939
16Jun34,2799,2911.75
17Jun34,2796,2895.086
18Jun34,2794,2878.422
19Jun34,2792,2861.758
20Jun34,2789,2852.547
21Jun34,2787,2843.336
22Jun34,2784,2834.125
23Jun34,2782,2818.387
24Jun34,2779,2796.121
25Jun34,2776,2773.856
26Jun34,2773,2751.59
27Jun34,2769,2753.488
28Jun34,2764,2755.386
29Jun34,2760,2757.283
30Jun34,2754,2754.663
01Jul34,2748,2747.524
02Jul34,2742,2740.385
03Jul34,2735,2733.246
04Jul34,2727,2712.528
05Jul34,2719,2691.81
06Jul34,2711,2671.092
07Jul34,2702,2660.357
08Jul34,2692,2659.604
09Jul34,2683,2658.852
10Jul34,2672,2658.099
11Jul34,2662,2667.969
12Jul34,2651,2677.838
13Jul34,2640,2687.707
14Jul34,2629,2701.009
15Jul34,2618,2717.743
16Jul34,2607,2734.476
17Jul34,2596,2751.21
18Jul34,2585,2744.626
19Jul34,2574,2738.041
20Jul34,2563,2731.456
21Jul34,2553,2722.807
22Jul34,2542,2712.094
23Jul34,2532,2701.38
24Jul34,2521,2690.666
25Jul34,2511,2671.346
26Jul34,2501,2652.028
27Jul34,2490,2632.708
28Jul34,2480,2613.404
29Jul34,2470,2594.115
30Jul34,2460,2574.827
31Jul34,2450,2555.538
01Aug34,2441,2537.913
02Aug34,2431,2520.288
03Aug34,2422,2502.662
04Aug34,2413,2495.121
05Aug34,2405,2497.662
06Aug34,2396,2500.203
07Aug34,2388,2502.745
08Aug34,2380,2495.875
09Aug34,2372,2489.004
10Aug34,2365,2482.134
11Aug34,2358,2476.29
12Aug34,2351,2471.472
13Aug34,2345,2466.655
14Aug34,2338,2461.837
15Aug34,2332,2508.461
16Aug34,2326,2555.084
17Aug34,2320,2601.707
18Aug34,2313,2630.682
19Aug34,2306,2642.007
20Aug34,2299,2653.332
21Aug34,2292,2664.657
22Aug34,2285,2654.667
23Aug34,2277,2644.677
24Aug34,2270,2634.687
25Aug34,2263,2620.051
26Aug34,2255,2600.769
27Aug34,2248,2581.486
28Aug34,2241,2562.204
29Aug34,2234,2551.289
30Aug34,2227,2540.375
31Aug34,2221,2529.461
01Sep34,2215,2523.021
02Sep34,2210,2521.057
03Sep34,2205,2519.092
04Sep34,2200,2517.127
05Sep34,2197,2504.333
06Sep34,2194,2491.538
07Sep34,2191,2478.744
08Sep34,2189,2467.989
09Sep34,2188,2459.275
10Sep34,2186,2450.56
11Sep34,2185,2441.846
12Sep34,2185,2425.684
13Sep34,2184,2409.522
14Sep34,2184,2393.359
15Sep34,2185,2379.935
16Sep34,2186,2369.251
17Sep34,2187,2358.566
18Sep34,2188,2347.881
19Sep34,2190,2357.373
20Sep34,2193,2366.864
21Sep34,2195,2376.355
22Sep34,2198,2392.325
23Sep34,2202,2414.774
24Sep34,2206,2437.222
25Sep34,2210,2459.67
26Sep34,2215,2464.559
27Sep34,2221,2469.449
28Sep34,2227,2474.338
29Sep34,2233,2517.559
30Sep34,2240,2599.111
01Oct34,2248,2680.664
02Oct34,2256,2762.216
03Oct34,2264,2786.317
04Oct34,2272,2810.418
05Oct34,2281,2834.519
06Oct34,2289,2857.728
07Oct34,2298,2880.044
08Oct34,2307,2902.361
09Oct34,2317,2924.678
10Oct34,2326,2921.865
11Oct34,2335,2919.051
12Oct34,2344,2916.237
13Oct34,2353,2929.677
14Oct34,2362,2959.369
15Oct34,2370,2989.062
16Oct34,2379,3018.754
17Oct34,2387,3013.497
18Oct34,2396,3008.24
19Oct34,2404,3002.983
20Oct34,2413,3006.033
21Oct34,2421,3017.392
22Oct34,2429,3028.75
23Oct34,2437,3040.109
24Oct34,2444,3020.009
25Oct34,2452,2999.91
26Oct34,2459,2979.81
27Oct34,2466,2964.401
28Oct34,2473,2953.682
29Oct34,2479,2942.964
30Oct34,2486,2932.245
31Oct34,2493,2916.723
01Nov34,2499,2901.202
02Nov34,2506,2885.68
03Nov34,2512,2875.035
04Nov34,2519,2869.267
05Nov34,2526,2863.498
06Nov34,2533,2857.73
07Nov34,2540,2841.817
08Nov34,2548,2825.904
09Nov34,2556,2809.99
10Nov34,2564,2800.229
11Nov34,2573,2796.619
12Nov34,2582,2793.01
13Nov34,2591,2789.4
14Nov34,2600,2779.311
15Nov34,2610,2769.221
16Nov34,2620,2759.132
17Nov34,2630,2767.248
18Nov34,2640,2793.57
19Nov34,2650,2819.892
20Nov34,2660,2846.214
21Nov34,2670,2845.433
22Nov34,2679,2844.651
23Nov34,2689,2843.87
24Nov34,2698,2844.906
25Nov34,2707,2847.761
26Nov34,2716,2850.615
27Nov34,2725,2853.469
28Nov34,2735,2844.923
29Nov34,2744,2836.377
30Nov34,2753,2827.831
01Dec34,2763,2826.125
02Dec34,2773,2831.257
03Dec34,2783,2836.389
04Dec34,2794,2841.522
05Dec34,2804,2828.033
06Dec34,2816,2814.544
07Dec34,2827,2801.055
08Dec34,2838,2795.421
09Dec34,2850,2797.643
10Dec34,2863,2799.865
11Dec34,2875,2802.086
12Dec34,2888,2791.583
13Dec34,2901,2781.08
14Dec34,2915,2770.577
15Dec34,2928,2763.334
16Dec34,2942,2759.348
17Dec34,2956,2755.362
18Dec34,2971,2751.376
19Dec34,2986,2764.01
20Dec34,3001,2776.643
21Dec34,3017,2789.277
22Dec34,3034,2801.75
23Dec34,3051,2814.061
24Dec34,3069,2826.372
25Dec34,3087,2838.683
26Dec34,3105,2845.915
27Dec34,3124,2853.146
28Dec34,3143,2860.377
29Dec34,3163,2873.755
30Dec34,3183,2893.279
31Dec34,3202,2912.803
01Jan35,3222,2932.327
02Jan35,3241,2949.928
03Jan35,3260,2967.528
04Jan35,3278,2985.129
05Jan35,3295,3008.897
06Jan35,3312,3038.831
07Jan35,3327,3068.766
08Jan35,3341,3098.701
09Jan35,3355,3149.382
10Jan35,3367,3200.063
11Jan35,3379,3250.744
12Jan35,3388,3284.557
13Jan35,3397,3301.502
14Jan35,3404,3318.447
15Jan35,3410,3335.392
16Jan35,3415,3382.005
17Jan35,3418,3428.618
18Jan35,3421,3475.231
19Jan35,3423,3528.495
20Jan35,3424,3588.409
21Jan35,3425,3648.325
22Jan35,3425,3708.24
23Jan35,3424,3721.569
24Jan35,3423,3734.898
25Jan35,3422,3748.226
26Jan35,3420,3774.078
27Jan35,3417,3812.452
28Jan35,3414,3850.826
29Jan35,3411,3889.2
30Jan35,3408,3847.247
31Jan35,3405,3805.293
01Feb35,3401,3763.339
02Feb35,3397,3735.009
03Feb35,3393,3720.303
04Feb35,3389,3705.596
05Feb35,3384,3690.89
06Feb35,3380,3681.868
07Feb35,3375,3672.845
08Feb35,3369,3663.823
09Feb35,3363,3656.141
10Feb35,3358,3649.801
11Feb35,3351,3643.46
12Feb35,3345,3637.12
13Feb35,3339,3619.042
14Feb35,3332,3600.965
15Feb35,3325,3582.887
16Feb35,3318,3567.112
17Feb35,3310,3553.639
18Feb35,3303,3540.166
19Feb35,3296,3526.693
20Feb35,3289,3541.558
21Feb35,3282,3556.423
22Feb35,3275,3571.289
23Feb35,3269,3588.905
24Feb35,3262,3609.274
25Feb35,3256,3629.642
26Feb35,3250,3650.011
27Feb35,3244,3622.993
28Feb35,3238,3595.974
01Mar35,3232,3568.955
02Mar35,3227,3545.245
03Mar35,3222,3524.842
04Mar35,3217,3504.44
05Mar35,3211,3484.037
06Mar35,3206,3452.116
07Mar35,3201,3420.195
08Mar35,3196,3388.273
09Mar35,3191,3359.812
10Mar35,3185,3334.81
11Mar35,3180,3309.808
12Mar35,3174,3284.806
13Mar35,3169,3259.086
14Mar35,3163,3233.366
15Mar35,3157,3207.646
16Mar35,3151,3200.249
17Mar35,3146,3211.175
18Mar35,3140,3222.099
19Mar35,3134,3233.025
20Mar35,3129,3264.687
21Mar35,3124,3296.348
22Mar35,3119,3328.009
23Mar35,3114,3364.527
24Mar35,3109,3405.901
25Mar35,3105,3447.275
26Mar35,3100,3488.649
27Mar35,3097,3577.278
28Mar35,3093,3665.908
29Mar35,3089,3754.536
30Mar35,3086,3797.41
31Mar35,3083,3794.527
01Apr35,3080,3791.645
02Apr35,3078,3788.762
03Apr35,3075,3766.688
04Apr35,3073,3744.613
05Apr35,3070,3722.539
06Apr35,3068,3705.404
07Apr35,3066,3693.208
08Apr35,3063,3681.011
09Apr35,3059,3668.814
10Apr35,3055,3652.794
11Apr35,3051,3636.774
12Apr35,3046,3620.753
13Apr35,3040,3617.334
14Apr35,3033,3626.515
15Apr35,3027,3635.697
16Apr35,3020,3644.878
17Apr35,3012,3618.693
18Apr35,3004,3592.506
19Apr35,2995,3566.321
20Apr35,2986,3543.062
21Apr35,2976,3522.728
22Apr35,2966,3502.395
23Apr35,2961,3482.062
24Apr35,2956,3459.747
25Apr35,2951,3437.431
26Apr35,2945,3415.116
27Apr35,2940,3394.544
28Apr35,2935,3375.716
29Apr35,2930,3356.887
30Apr35,2924,3338.059
01May35,2919,3326.919
02May35,2913,3315.78
03May35,2907,3304.64
04May35,2902,3292.037
05May35,2896,3277.97
06May35,2891,3263.903
07May35,2886,3249.836
08May35,2881,3223.321
09May35,2876,3196.806
10May35,2872,3170.291
11May35,2868,3147.722
12May35,2864,3129.099
13May35,2861,3110.477
14May35,2858,3091.854
15May35,2856,3082.123
16May35,2854,3072.393
17May35,2853,3062.662
18May35,2852,3069.754
19May35,2851,3093.668
20May35,2850,3117.582
21May35,2850,3141.496
22May35,2849,3140.733
23May35,2848,3139.971
24May35,2848,3139.208
25May35,2847,3136.526
26May35,2846,3131.925
27May35,2845,3127.323
28May35,2844,3122.722
29May35,2843,3117.434
30May35,2841,3112.145
31May35,2839,3106.857
01Jun35,2837,3112.41
02Jun35,2835,3128.805
03Jun35,2833,3145.201
04Jun35,2830,3161.597
05Jun35,2828,3161.729
06Jun35,2825,3161.861
07Jun35,2822,3161.993
08Jun35,2819,3165.258
09Jun35,2816,3171.654
10Jun35,2813,3178.051
11Jun35,2811,3184.447
12Jun35,2808,3177.581
13Jun35,2806,3170.715
14Jun35,2803,3163.848
15Jun35,2801,3154.272
